real_salary,predicted_salary,residuals,season,position,team
17142000,3481596.556302339,13660403.443697661,2000,Center,Los Angeles Lakers
16806000,3228842.02729553,13577157.97270447,2000,Power Forward,Minnesota Timberwolves
15004000,3481596.556302339,11522403.443697661,2000,Center,Miami Heat
15000000,3228842.02729553,11771157.97270447,2000,Power Forward,Washington Wizards
14795000,3102464.7627921104,11692535.23720789,2000,Small Forward,Portland Trail Blazers
14000000,3228842.02729553,10771157.97270447,2000,Power Forward,Utah Jazz
11910000,3418407.924050629,8491592.07594937,2000,Forward,New York Knicks
11020000,3292030.6595472395,7727969.34045276,2000,Point Guard,Seattle SuperSonics
10800000,3228842.02729553,7571157.97270447,2000,Power Forward,Portland Trail Blazers
10780000,3481596.556302339,7298403.443697661,2000,Center,Cleveland Cavaliers
10125000,3292030.6595472395,6832969.34045276,2000,Point Guard,Portland Trail Blazers
9900000,3228842.02729553,6671157.97270447,2000,Power Forward,Denver Nuggets
9000000,3228842.02729553,5771157.97270447,2000,Power Forward,Boston Celtics
9000000,3228842.02729553,5771157.97270447,2000,Power Forward,Vancouver Grizzlies
9000000,3165653.39504382,5834346.60495618,2000,Shooting Guard,Philadelphia 76ers
9000000,3228842.02729553,5771157.97270447,2000,Power Forward,Seattle SuperSonics
9000000,3102464.7627921104,5897535.23720789,2000,Small Forward,Phoenix Suns
9000000,3165653.39504382,5834346.60495618,2000,Shooting Guard,Milwaukee Bucks
9000000,3102464.7627921104,5897535.23720789,2000,Small Forward,Los Angeles Lakers
9000000,3292030.6595472395,5707969.34045276,2000,Point Guard,New Jersey Nets
8837000,3481596.556302339,5355403.443697661,2000,Center,Sacramento Kings
8666000,3481596.556302339,5184403.443697661,2000,Center,Vancouver Grizzlies
8558000,3228842.02729553,5329157.97270447,2000,Power Forward,Phoenix Suns
8354000,3292030.6595472395,5061969.34045276,2000,Point Guard,Denver Nuggets
7975000,3481596.556302339,4493403.443697661,2000,Center,Charlotte Hornets
7400000,3292030.6595472395,4107969.3404527605,2000,Point Guard,Minnesota Timberwolves
7370000,3228842.02729553,4141157.97270447,2000,Power Forward,Charlotte Hornets
7250000,3102464.7627921104,4147535.2372078896,2000,Small Forward,Milwaukee Bucks
7200000,3165653.39504382,4034346.60495618,2000,Shooting Guard,Portland Trail Blazers
7166000,3165653.39504382,4000346.60495618,2000,Shooting Guard,New Jersey Nets
7100000,3481596.556302339,3618403.443697661,2000,Center,New York Knicks
7031000,3481596.556302339,3549403.443697661,2000,Center,Philadelphia 76ers
6889000,3481596.556302339,3407403.443697661,2000,Center,Philadelphia 76ers
6858000,3292030.6595472395,3565969.3404527605,2000,Point Guard,Phoenix Suns
6680000,3292030.6595472395,3387969.3404527605,2000,Point Guard,Boston Celtics
6422000,3228842.02729553,3193157.97270447,2000,Power Forward,Philadelphia 76ers
6125000,3228842.02729553,2896157.97270447,2000,Power Forward,Phoenix Suns
5600000,3102464.7627921104,2497535.2372078896,2000,Small Forward,Miami Heat
5500000,3292030.6595472395,2207969.3404527605,2000,Point Guard,Dallas Mavericks
5318000,3228842.02729553,2089157.9727044702,2000,Power Forward,Atlanta Hawks
5250000,3228842.02729553,2021157.9727044702,2000,Power Forward,Golden State Warriors
5250000,3481596.556302339,1768403.4436976612,2000,Center,New York Knicks
5200000,3481596.556302339,1718403.4436976612,2000,Center,Utah Jazz
5175000,3481596.556302339,1693403.4436976612,2000,Center,Phoenix Suns
5124000,3228842.02729553,1895157.9727044702,2000,Power Forward,Miami Heat
5075000,3481596.556302339,1593403.4436976612,2000,Center,Portland Trail Blazers
4988000,3481596.556302339,1506403.4436976612,2000,Center,Golden State Warriors
4900000,3102464.7627921104,1797535.2372078896,2000,Small Forward,Cleveland Cavaliers
4819000,3481596.556302339,1337403.4436976612,2000,Center,Washington Wizards
4810000,3418407.924050629,1391592.0759493709,2000,Forward,Detroit Pistons
4800000,3228842.02729553,1571157.9727044702,2000,Power Forward,Los Angeles Lakers
4800000,3418407.924050629,1381592.0759493709,2000,Forward,Indiana Pacers
4800000,3481596.556302339,1318403.4436976612,2000,Center,New Jersey Nets
4781000,3102464.7627921104,1678535.2372078896,2000,Small Forward,Detroit Pistons
4540000,3292030.6595472395,1247969.3404527605,2000,Point Guard,New York Knicks
4490000,3228842.02729553,1261157.9727044702,2000,Power Forward,Indiana Pacers
4400000,3228842.02729553,1171157.9727044702,2000,Power Forward,Atlanta Hawks
4200000,3355219.2917989492,844780.7082010508,2000,Guard,Golden State Warriors
4200000,3102464.7627921104,1097535.2372078896,2000,Small Forward,Golden State Warriors
4160000,3355219.2917989492,804780.7082010508,2000,Guard,New York Knicks
4125000,3292030.6595472395,832969.3404527605,2000,Point Guard,Orlando Magic
4000000,3102464.7627921104,897535.2372078896,2000,Small Forward,Utah Jazz
3960000,3165653.39504382,794346.6049561799,2000,Shooting Guard,Seattle SuperSonics
3937000,3418407.924050629,518592.07594937086,2000,Forward,Golden State Warriors
3810000,3481596.556302339,328403.44369766116,2000,Center,Boston Celtics
3760000,3292030.6595472395,467969.34045276046,2000,Point Guard,Cleveland Cavaliers
3750000,3418407.924050629,331592.07594937086,2000,Forward,Houston Rockets
3750000,3481596.556302339,268403.44369766116,2000,Center,Milwaukee Bucks
3500000,3292030.6595472395,207969.34045276046,2000,Point Guard,Milwaukee Bucks
3456000,3481596.556302339,-25596.55630233884,2000,Center,Los Angeles Clippers
3375000,3228842.02729553,146157.97270447016,2000,Power Forward,Chicago Bulls
3336000,3228842.02729553,107157.97270447016,2000,Power Forward,Boston Celtics
3250000,3292030.6595472395,-42030.65954723954,2000,Point Guard,Indiana Pacers
3200000,3228842.02729553,-28842.027295529842,2000,Power Forward,Toronto Raptors
3159000,3418407.924050629,-259407.92405062914,2000,Forward,Orlando Magic
