salary,season,cluster
17142000,2000,0
16806000,2000,0
15004000,2000,0
15000000,2000,0
14795000,2000,0
14000000,2000,0
11910000,2000,0
11020000,2000,0
10800000,2000,0
10780000,2000,0
10125000,2000,0
9900000,2000,0
9000000,2000,0
9000000,2000,0
9000000,2000,0
9000000,2000,0
9000000,2000,0
9000000,2000,0
9000000,2000,0
9000000,2000,0
8837000,2000,0
8666000,2000,0
8558000,2000,0
8354000,2000,0
7975000,2000,0
7400000,2000,0
7370000,2000,0
7250000,2000,0
7200000,2000,0
7166000,2000,0
7100000,2000,0
7031000,2000,0
6889000,2000,0
6858000,2000,0
6680000,2000,0
6422000,2000,0
6125000,2000,0
5600000,2000,0
5500000,2000,0
5318000,2000,0
5250000,2000,0
5250000,2000,0
5200000,2000,0
5175000,2000,0
5124000,2000,0
5075000,2000,0
4988000,2000,0
4900000,2000,0
4819000,2000,0
4810000,2000,0
4800000,2000,0
4800000,2000,0
4800000,2000,0
4781000,2000,0
4540000,2000,0
4490000,2000,0
4400000,2000,0
4200000,2000,0
4200000,2000,0
4160000,2000,0
4125000,2000,0
4000000,2000,0
3960000,2000,0
3937000,2000,0
3810000,2000,0
3760000,2000,0
3750000,2000,0
3750000,2000,0
3500000,2000,0
3456000,2000,0
3375000,2000,0
3336000,2000,0
3250000,2000,0
3200000,2000,0
3159000,2000,0
3092000,2000,0
3033000,2000,0
3020000,2000,0
3000000,2000,0
3000000,2000,0
3000000,2000,0
2951000,2000,0
2944000,2000,0
2800000,2000,0
2777000,2000,0
2720000,2000,0
2716000,2000,0
2712000,2000,0
2600000,2000,0
2520000,2000,0
2520000,2000,0
2503000,2000,0
2500000,2000,0
2495000,2000,0
2445000,2000,0
2400000,2000,0
2400000,2000,0
2350000,2000,0
2285000,2000,0
2267000,2000,0
2214000,2000,0
2100000,2000,0
2059000,2000,0
2025000,2000,0
2011000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
2000000,2000,0
1968000,2000,0
1925000,2000,0
1920000,2000,0
1920000,2000,0
1879000,2000,0
1836000,2000,0
1722000,2000,0
1682000,2000,0
1583000,2000,0
1546000,2000,0
1503000,2000,0
1468000,2000,0
1428000,2000,0
1394000,2000,0
1325000,2000,0
1289000,2000,0
1259000,2000,0
1224000,2000,0
1196000,2000,0
1163000,2000,0
1100000,2000,0
1079000,2000,0
1050000,2000,0
1025000,2000,0
974000,2000,0
952000,2000,0
930000,2000,0
914000,2000,0
893000,2000,0
878000,2000,0
857000,2000,0
857000,2000,0
843000,2000,0
823000,2000,0
790000,2000,0
745000,2000,0
728000,2000,0
684000,2000,0
679000,2000,0
301000,2000,0
19600000,2001,0
19285000,2001,0
16879000,2001,0
16875000,2001,0
16685000,2001,0
15750000,2001,0
14422000,2001,0
14000000,2001,0
13196000,2001,0
13151000,2001,0
12600000,2001,0
12485000,2001,0
12200000,2001,0
12000000,2001,0
12000000,2001,0
11720000,2001,0
11250000,2001,0
11000000,2001,0
10800000,2001,0
10666000,2001,0
10636000,2001,0
10130000,2001,0
10130000,2001,0
10130000,2001,0
10125000,2001,0
10125000,2001,0
10125000,2001,0
10125000,2001,0
10125000,2001,0
10125000,2001,0
10125000,2001,0
10110000,2001,0
9658000,2001,0
9658000,2001,0
9658000,2001,0
9658000,2001,0
9641000,2001,0
9336000,2001,0
9000000,2001,0
9000000,2001,0
8960000,2001,0
8897000,2001,0
8507000,2001,0
8400000,2001,0
8370000,2001,0
8325000,2001,0
8184000,2001,0
8120000,2001,0
8100000,2001,0
8050000,2001,0
8040000,2001,0
8000000,2001,0
7843000,2001,0
7800000,2001,0
7630000,2001,0
7578000,2001,0
7520000,2001,0
7515000,2001,0
7415000,2001,0
7167000,2001,0
6890000,2001,0
6625000,2001,0
6200000,2001,0
6200000,2001,0
6175000,2001,0
5909000,2001,0
5764000,2001,0
5750000,2001,0
5750000,2001,0
5700000,2001,0
5630000,2001,0
5620000,2001,0
5611000,2001,0
5600000,2001,0
5553000,2001,0
5515000,2001,0
5500000,2001,0
5500000,2001,0
5500000,2001,0
5400000,2001,0
5400000,2001,0
5400000,2001,0
5333000,2001,0
5300000,2001,0
5298000,2001,0
5200000,2001,0
5000000,2001,0
5000000,2001,0
4950000,2001,0
4812000,2001,0
4800000,2001,0
4800000,2001,0
4680000,2001,0
4570000,2001,0
4500000,2001,0
4500000,2001,0
4500000,2001,0
4386000,2001,0
4375000,2001,0
4320000,2001,0
4320000,2001,0
4286000,2001,0
4250000,2001,0
4250000,2001,0
4200000,2001,0
4000000,2001,0
4000000,2001,0
4000000,2001,0
4000000,2001,0
3997000,2001,0
3937000,2001,0
3922000,2001,0
3922000,2001,0
3922000,2001,0
3920000,2001,0
3892000,2001,0
3780000,2001,0
3700000,2001,0
3697000,2001,0
3680000,2001,0
3629000,2001,0
