word,frequency
guard,3871
forward,3763
center,1765
power,1731
shooting,1699
point,1475
small,1454
new,753
grizzly,374
washington,362
wizard,357
antonio,355
memphis,354
philadelphia,351
er,351
york,346
knicks,346
net,338
sun,337
toronto,337
raptor,337
sacramento,336
king,336
phoenix,332
los,325
angeles,325
portland,325
trail,325
blazer,325
san,324
spur,324
utah,314
jazz,314
milwaukee,313
buck,313
charlotte,312
minnesota,311
timberwolves,311
golden,311
state,311
warrior,311
clipper,311
lakers,308
miami,308
heat,308
houston,304
indiana,303
pacer,303
orlando,301
rocket,299
