rank,name,position,team,salary,season,salary_zscore,position_encoded,team_encoded,high_earner,experience_years,is_rookie_contract,is_veteran
180,A.C. Green,Forward,Miami Heat,2250000,2001,-0.346734806676719,1,20,0,0,1,0
355,A.J. Guyton,Guard,Chicago Bulls,316000,2001,-0.8789147246980905,3,5,0,0,1,0
384,A.J. Guyton,Guard,Chicago Bulls,465000,2002,-0.8006741421155887,3,5,0,1,1,0
441,A.J. Price,Point Guard,Indiana Pacers,457588,2010,-0.8149233811577846,5,13,0,0,1,0
444,A.J. Price,Point Guard,Indiana Pacers,762195,2011,-0.6990728806904788,5,13,0,1,1,0
414,A.J. Price,Point Guard,Indiana Pacers,854389,2012,-0.6125108228960757,5,13,0,2,1,0
445,A.J. Price,Point Guard,Washington Wizards,854389,2013,-0.5776664105185326,5,35,0,3,1,0
522,A.J. Price,Point Guard,Phoenix Suns,53838,2015,-0.8508987476982471,5,29,0,4,0,0
477,AJ Hammons,Center,Dallas Mavericks,650000,2017,-0.6999857416715392,0,7,0,0,1,0
418,AJ Hammons,Center,Miami Heat,1312611,2018,-0.6091383348019735,0,20,0,1,1,0
342,Aaron Brooks,Guard,Houston Rockets,972720,2008,-0.6762162202180643,3,12,0,0,1,0
335,Aaron Brooks,Guard,Houston Rockets,1045560,2009,-0.7022005390023445,3,12,0,1,1,0
322,Aaron Brooks,Guard,Houston Rockets,1118520,2010,-0.6725187181004644,3,12,0,2,1,0
268,Aaron Brooks,Guard,Phoenix Suns,2016692,2011,-0.41341511755391197,3,29,0,3,1,0
280,Aaron Brooks,Guard,Minnesota Timberwolves,2016692,2012,-0.33808352756986176,3,22,0,4,0,0
268,Aaron Brooks,Guard,Sacramento Kings,2400000,2013,-0.2035647237489674,3,31,0,5,0,0
334,Aaron Brooks,Guard,Houston Rockets,884293,2014,-0.7033470106455401,3,12,0,6,0,0
387,Aaron Brooks,Guard,Chicago Bulls,915243,2015,-0.660488105697669,3,5,0,7,0,0
256,Aaron Brooks,Guard,Chicago Bulls,2250000,2016,-0.41341636416428085,3,5,0,8,0,0
271,Aaron Brooks,Guard,Indiana Pacers,2700000,2017,-0.36749701948779456,3,13,0,9,0,0
353,Aaron Brooks,Guard,Minnesota Timberwolves,1471382,2018,-0.5864883292852272,3,22,0,10,0,1
168,Aaron Gordon,Power Forward,Orlando Magic,3992040,2015,0.01962739406777531,6,27,0,0,1,0
170,Aaron Gordon,Power Forward,Orlando Magic,4171680,2016,-0.0319820144315321,6,27,0,1,1,0
205,Aaron Gordon,Power Forward,Orlando Magic,4351320,2017,-0.09967005523586232,6,27,0,2,1,0
38,Aaron Gordon,Power Forward,Orlando Magic,21590909,2019,1.915629780524851,6,27,1,3,1,0
54,Aaron Gordon,Power Forward,Orlando Magic,19863636,2020,1.4401500984127098,6,27,1,4,0,0
452,Aaron Gray,Center,Chicago Bulls,427163,2008,-0.8006909665103978,0,5,0,0,1,0
433,Aaron Gray,Center,Chicago Bulls,711517,2009,-0.7734015718769818,0,5,0,1,1,0
340,Aaron Gray,Center,Chicago Bulls,1000497,2010,-0.6979479990976231,0,5,0,2,1,0
344,Aaron Gray,Center,New Orleans Pelicans,1028840,2011,-0.6383559445387383,0,24,0,3,1,0
245,Aaron Gray,Center,Toronto Raptors,2500000,2012,-0.22397136641264043,0,33,0,4,0,0
259,Aaron Gray,Center,Toronto Raptors,2575000,2013,-0.161207497263989,0,33,0,5,0,0
208,Aaron Gray,Center,Toronto Raptors,2690875,2014,-0.33410967125781876,0,33,0,6,0,0
327,Aaron Gray,Center,Detroit Pistons,1227985,2015,-0.5913575515442281,0,9,0,7,0,0
481,Aaron Harrison,Guard,Charlotte Hornets,525093,2016,-0.7557932322663928,3,4,0,0,1,0
467,Aaron Harrison,Guard,Charlotte Hornets,874636,2017,-0.6635521140635061,3,4,0,1,1,0
585,Aaron Harrison,Guard,Dallas Mavericks,91442,2018,-0.7833482634846651,3,7,0,2,1,0
308,Aaron Holiday,Point Guard,Indiana Pacers,1911960,2019,-0.615694964791547,5,13,0,0,1,0
307,Aaron Holiday,Point Guard,Indiana Pacers,2329200,2020,-0.5676850627028174,5,13,0,1,1,0
598,Aaron Jackson,Forward,Houston Rockets,4608,2018,-0.7957358568048631,1,12,0,0,1,0
466,Aaron Jackson,Forward,Houston Rockets,1378242,2020,-0.6765774678616774,1,12,0,1,1,0
224,Aaron McKie,Shooting Guard,Philadelphia 76ers,1820000,2001,-0.4650581597011191,7,28,0,0,1,0
123,Aaron McKie,Shooting Guard,Philadelphia 76ers,4000000,2002,0.15968082534036332,7,28,0,1,1,0
112,Aaron McKie,Shooting Guard,Philadelphia 76ers,4500000,2003,-0.062216062286911185,7,28,0,2,1,0
86,Aaron McKie,Shooting Guard,Philadelphia 76ers,5000000,2004,-0.17950656526909828,7,28,0,3,1,0
63,Aaron McKie,Shooting Guard,Philadelphia 76ers,5500000,2005,-0.27668365066556766,7,28,0,4,0,0
220,Aaron McKie,Shooting Guard,Los Angeles Lakers,2500000,2006,-0.370293676451672,7,16,0,5,0,0
230,Aaron McKie,Shooting Guard,Los Angeles Lakers,2500000,2007,-0.32919138505795154,7,16,0,6,0,0
89,Aaron McKie,Shooting Guard,Memphis Grizzlies,7000000,2008,0.6989730795853595,7,19,1,7,0,0
183,Aaron Williams,Center,Brooklyn Nets,2250000,2001,-0.346734806676719,0,3,0,0,1,0
189,Aaron Williams,Center,Brooklyn Nets,2475000,2002,-0.25461657929056364,0,3,0,1,1,0
166,Aaron Williams,Center,Brooklyn Nets,2700000,2003,-0.4746765404596365,0,3,0,2,1,0
122,Aaron Williams,Center,Brooklyn Nets,2925000,2004,-0.6213379411167914,0,3,0,3,1,0
83,Aaron Williams,Center,Toronto Raptors,3150000,2005,-0.7393516227938761,0,33,0,4,0,0
177,Aaron Williams,Center,Toronto Raptors,3375000,2006,-0.15391764820869952,0,33,0,5,0,0
275,Aaron Williams,Center,LA Clippers,1750000,2007,-0.5140905775495554,0,14,0,6,0,0
263,Aaron Williams,Center,LA Clippers,1890000,2008,-0.46692884001942,0,14,0,7,0,0
443,Abdel Nader,Small Forward,Boston Celtics,1167333,2018,-0.6298634514886599,8,2,0,0,1,0
401,Abdel Nader,Small Forward,Oklahoma City Thunder,1378242,2019,-0.6843476952001057,8,26,0,1,1,0
396,Abdel Nader,Small Forward,Oklahoma City Thunder,1618520,2020,-0.6490636877296836,8,26,0,2,1,0
261,Acie Law,Point Guard,Atlanta Hawks,1927080,2008,-0.4584686358748123,5,0,0,0,1,0
259,Acie Law,Point Guard,Atlanta Hawks,2071680,2009,-0.4834837754320172,5,0,0,1,1,0
246,Acie Law,Point Guard,Charlotte Hornets,2216160,2010,-0.43602078131084443,5,4,0,2,1,0
470,Acie Law,Point Guard,Memphis Grizzlies,633253,2011,-0.7284338782013179,5,19,0,3,1,0
530,Acie Law,Point Guard,Golden State Warriors,633253,2012,-0.6647224702713794,5,11,0,4,0,0
586,Acie Law,Point Guard,Golden State Warriors,633253,2013,-0.6311904541527165,5,11,0,5,0,0
456,Adam Haluska,NA,Houston Rockets,427163,2008,-0.8006909665103978,4,12,0,0,1,0
130,Adam Keefe,Forward,Golden State Warriors,3390000,2001,-0.0330403358678444,1,11,0,0,1,0
172,Adam Morrison,Small Forward,Charlotte Hornets,3616680,2007,-0.05389374469591918,8,4,0,0,1,0
171,Adam Morrison,Small Forward,Charlotte Hornets,3887880,2008,-0.011090850363843312,8,4,0,1,1,0
174,Adam Morrison,Small Forward,Charlotte Hornets,4159200,2009,-0.038530340854843366,8,4,0,2,1,0
135,Adam Morrison,Small Forward,Los Angeles Lakers,5257229,2010,0.21920911568167817,8,16,0,3,1,0
477,Admiral Schofield,Shooting Guard,Washington Wizards,1000000,2020,-0.719889245155835,7,35,0,0,1,0
122,Adonal Foyle,Center,Golden State Warriors,3578000,2001,0.01869173475677703,0,11,0,0,1,0
116,Adonal Foyle,Center,Golden State Warriors,4400000,2002,0.26834899704683596,0,11,0,1,1,0
115,Adonal Foyle,Center,Golden State Warriors,4400000,2003,-0.08513053329650704,0,11,0,2,1,0
95,Adonal Foyle,Center,Golden State Warriors,4400000,2004,-0.30726503539373246,0,11,0,3,1,0
76,Adonal Foyle,Center,Golden State Warriors,7312500,2006,0.8197744788846766,0,11,1,4,0,0
62,Adonal Foyle,Center,Golden State Warriors,8125000,2007,1.057552558629078,0,11,1,5,0,0
314,Adonal Foyle,Center,Orlando Magic,1219590,2008,-0.61989015233297,0,27,0,6,0,0
384,Adonal Foyle,Center,Memphis Grizzlies,797581,2009,-0.7550570901985069,0,19,0,7,0,0
377,Adonal Foyle,Center,Orlando Magic,825497,2010,-0.7356535664404527,0,27,0,8,0,0
445,Adonis Thomas,Shooting Guard,Detroit Pistons,845059,2016,-0.6922831665184074,7,9,0,0,1,0
278,Adreian Payne,Power Forward,Minnesota Timberwolves,1855320,2015,-0.4526872859903566,6,22,0,0,1,0
280,Adreian Payne,Power Forward,Minnesota Timberwolves,1938840,2016,-0.47517852657573445,6,22,0,1,1,0
303,Adreian Payne,Power Forward,Minnesota Timberwolves,2022240,2017,-0.47742265673035783,6,22,0,2,1,0
331,Adrian Griffin,Shooting Guard,Boston Celtics,498000,2001,-0.828833677604042,7,2,0,0,1,0
321,Adrian Griffin,Shooting Guard,Dallas Mavericks,648000,2002,-0.7509584535598774,7,7,0,1,1,0
350,Adrian Griffin,Shooting Guard,Dallas Mavericks,844537,2006,-0.7796679722724673,7,7,0,2,1,0
295,Adrian Griffin,Shooting Guard,Chicago Bulls,1475000,2007,-0.5818869481298102,7,5,0,3,1,0
291,Adrian Griffin,Shooting Guard,Oklahoma City Thunder,1593000,2008,-0.534692611080598,7,26,0,4,0,0
153,Al Harrington,Power Forward,Indiana Pacers,745000,2000,-1.006222026139464,6,13,0,0,1,0
288,Al Harrington,Power Forward,Indiana Pacers,797000,2001,-0.7465576716638197,6,13,0,1,1,0
257,Al Harrington,Power Forward,Indiana Pacers,1436000,2002,-0.5368821552981263,6,13,0,2,1,0
193,Al Harrington,Power Forward,Indiana Pacers,2110000,2003,-0.609871919416252,6,13,0,3,1,0
84,Al Harrington,Power Forward,Atlanta Hawks,6975500,2006,0.7364387971499545,6,0,1,4,0,0
71,Al Harrington,Power Forward,Indiana Pacers,7625000,2007,0.9342864303013418,6,13,1,5,0,0
72,Al Harrington,Power Forward,Golden State Warriors,8425625,2008,1.0242448847001469,6,11,1,6,0,0
73,Al Harrington,Power Forward,New York Knicks,9226250,2009,1.0415078387430856,6,25,1,7,0,0
59,Al Harrington,Power Forward,New York Knicks,10026875,2010,1.24687887827858,6,25,1,8,0,0
123,Al Harrington,Power Forward,Denver Nuggets,5765000,2011,0.44010089629617954,6,8,1,9,0,0
113,Al Harrington,Power Forward,Denver Nuggets,6226200,2012,0.6558086804809307,6,8,1,10,0,1
99,Al Harrington,Power Forward,Orlando Magic,7148600,2013,0.9457925658885659,6,27,1,11,0,1
175,Al Horford,Power Forward,Atlanta Hawks,3745800,2008,-0.04350794326745331,6,0,0,0,1,0
176,Al Horford,Power Forward,Atlanta Hawks,4023720,2009,-0.06740780852773537,6,0,0,1,1,0
164,Al Horford,Power Forward,Atlanta Hawks,4307640,2010,0.014610304324476955,6,0,0,2,1,0
131,Al Horford,Power Forward,Atlanta Hawks,5444857,2011,0.367202090429103,6,0,1,3,1,0
36,Al Horford,Power Forward,Atlanta Hawks,12498483,2012,2.136735477719337,6,0,1,4,0,0
42,Al Horford,Power Forward,Atlanta Hawks,12000000,2013,2.1200317005698466,6,0,1,5,0,0
41,Al Horford,Power Forward,Atlanta Hawks,12000000,2014,1.5685310873834835,6,0,1,6,0,0
42,Al Horford,Power Forward,Atlanta Hawks,12000000,2015,1.7897596834263803,6,0,1,7,0,0
56,Al Horford,Power Forward,Atlanta Hawks,12000000,2016,1.521861574875674,6,0,1,8,0,0
